timestamp,uri,x,y,z,vx,vy,vz,batteryV,battery%
==========================================
date: 2025-05-13
time: 17:31:52
distance: 2.25
velocity: 0.5
horizontalSeparation: 0.75
heightAboveDefault: 0.25
trial: 1
==========================================
41535,radio://1/80/2M/E7E7E7E7E4,-0.7543965578079224,-0.007587297819554806,0.7672352194786072,0.005016326904296875,-0.01995849609375,-0.0039005279541015625,3.420527935028076,10.0
41635,radio://1/80/2M/E7E7E7E7E4,-0.7544001340866089,-0.00872770231217146,0.7672053575515747,0.0088043212890625,-0.01390838623046875,-0.00373077392578125,3.4152493476867676,10.0
41735,radio://1/80/2M/E7E7E7E7E4,-0.7510210275650024,-0.009289088658988476,0.7667521834373474,0.045928955078125,-0.00930023193359375,-0.00809478759765625,3.4152493476867676,10.0
41835,radio://1/80/2M/E7E7E7E7E4,-0.7434192299842834,-0.008580065332353115,0.7659668326377869,0.108642578125,-0.0028362274169921875,-0.0140533447265625,3.409970760345459,10.0
41935,radio://1/80/2M/E7E7E7E7E4,-0.7280318737030029,-0.007773771416395903,0.7648120522499084,0.1934814453125,-0.00016605854034423828,-0.017242431640625,3.409970760345459,10.0
42035,radio://1/80/2M/E7E7E7E7E4,-0.7053236365318298,-0.005764501169323921,0.7633650302886963,0.2783203125,0.003559112548828125,-0.015045166015625,3.4152493476867676,10.0
42135,radio://1/80/2M/E7E7E7E7E4,-0.6736289262771606,-0.0037818406708538532,0.7615837454795837,0.362060546875,0.0045318603515625,-0.0166778564453125,3.420527935028076,10.0
42235,radio://1/80/2M/E7E7E7E7E4,-0.6356363296508789,-0.0025568685960024595,0.7607138156890869,0.42333984375,0.0019989013671875,-0.0180816650390625,3.4152493476867676,10.0
42335,radio://1/80/2M/E7E7E7E7E4,-0.592490017414093,-0.00045273397699929774,0.7599631547927856,0.47021484375,-0.000385284423828125,-0.020782470703125,3.409970760345459,10.0
42435,radio://1/80/2M/E7E7E7E7E4,-0.546093225479126,0.0002946445601992309,0.7602218389511108,0.498046875,-0.00655364990234375,-0.0142974853515625,3.409970760345459,10.0
42535,radio://1/80/2M/E7E7E7E7E4,-0.49769148230552673,0.0011048286687582731,0.7609412670135498,0.51318359375,-0.01139068603515625,-0.006961822509765625,3.409970760345459,10.0
42635,radio://1/80/2M/E7E7E7E7E4,-0.44886156916618347,0.0008912466000765562,0.7615616917610168,0.5166015625,-0.017120361328125,-0.0081787109375,3.4152493476867676,10.0
42735,radio://1/80/2M/E7E7E7E7E4,-0.3992564082145691,0.0003625396639108658,0.7611032128334045,0.51708984375,-0.023406982421875,-0.020538330078125,3.409970760345459,10.0
42835,radio://1/80/2M/E7E7E7E7E4,-0.3490973711013794,-0.0010031684068962932,0.7596946358680725,0.51904296875,-0.02899169921875,-0.0234375,3.4046921730041504,10.0
42935,radio://1/80/2M/E7E7E7E7E4,-0.29882174730300903,-0.0029813037253916264,0.7587597966194153,0.52099609375,-0.03363037109375,-0.0199432373046875,3.4046921730041504,10.0
43035,radio://1/80/2M/E7E7E7E7E4,-0.24800769984722137,-0.005083935800939798,0.7577657103538513,0.5263671875,-0.035064697265625,-0.00942230224609375,3.409970760345459,10.0
43135,radio://1/80/2M/E7E7E7E7E4,-0.19658054411411285,-0.0073330034501850605,0.7575039267539978,0.53125,-0.031768798828125,-0.0074310302734375,3.4046921730041504,10.0
43235,radio://1/80/2M/E7E7E7E7E4,-0.14436911046504974,-0.008524330332875252,0.7574206590652466,0.53564453125,-0.022186279296875,-0.005527496337890625,3.409970760345459,10.0
43335,radio://1/80/2M/E7E7E7E7E4,-0.09151546657085419,-0.008693661540746689,0.7574775815010071,0.53759765625,-0.0109710693359375,-0.003841400146484375,3.420527935028076,10.0
43435,radio://1/80/2M/E7E7E7E7E4,-0.038621507585048676,-0.007640627678483725,0.7569762468338013,0.537109375,-0.0023288726806640625,-0.0120086669921875,3.4046921730041504,10.0
43535,radio://1/80/2M/E7E7E7E7E4,0.014146428555250168,-0.00549681019037962,0.7562993764877319,0.5341796875,0.002777099609375,-0.0102691650390625,3.4046921730041504,10.0
43635,radio://1/80/2M/E7E7E7E7E4,0.06707140803337097,-0.0036115089897066355,0.7555496096611023,0.53173828125,1.4841556549072266e-05,-0.012908935546875,3.4046921730041504,10.0
43735,radio://1/80/2M/E7E7E7E7E4,0.11897232383489609,-0.0012871940853074193,0.7551875114440918,0.52587890625,-0.002460479736328125,-0.005886077880859375,3.409970760345459,10.0
43835,radio://1/80/2M/E7E7E7E7E4,0.17123675346374512,-0.00021957396529614925,0.7548069357872009,0.521484375,-0.012359619140625,-0.003265380859375,3.399413585662842,10.0
43935,radio://1/80/2M/E7E7E7E7E4,0.22305841743946075,0.00014310365077108145,0.7541088461875916,0.5185546875,-0.0218658447265625,-0.0070648193359375,3.4046921730041504,10.0
44035,radio://1/80/2M/E7E7E7E7E4,0.2748636305332184,-0.0007624770514667034,0.7537997364997864,0.5166015625,-0.02838134765625,-0.00659942626953125,3.399413585662842,10.0
44135,radio://1/80/2M/E7E7E7E7E4,0.3258686363697052,-0.0024282147642225027,0.7527837157249451,0.51171875,-0.031494140625,-0.00887298583984375,3.399413585662842,10.0
44235,radio://1/80/2M/E7E7E7E7E4,0.3770352303981781,-0.0052086482755839825,0.7520435452461243,0.50927734375,-0.0345458984375,-0.00803375244140625,3.399413585662842,10.0
44335,radio://1/80/2M/E7E7E7E7E4,0.4273366332054138,-0.008156130090355873,0.7518991231918335,0.50341796875,-0.03564453125,0.0011653900146484375,3.399413585662842,10.0
