timestamp,URI,vx,vy,vz
240997,radio://0/80/2M/E7E7E7E7E6,-0.8812222480773926,-0.08019311726093292,-0.38379204273223877
241097,radio://0/80/2M/E7E7E7E7E6,-0.8974987864494324,-0.08987218141555786,-0.3364582359790802
241197,radio://0/80/2M/E7E7E7E7E6,0.10997454077005386,-0.025949368253350258,-0.2155141830444336
241297,radio://0/80/2M/E7E7E7E7E6,-0.5990903377532959,-0.00046774247311986983,-0.3205324113368988
241398,radio://0/80/2M/E7E7E7E7E6,0.18701334297657013,0.02669117972254753,-0.2640025019645691
241498,radio://0/80/2M/E7E7E7E7E6,0.11555015295743942,0.034371089190244675,-0.2695775032043457
241598,radio://0/80/2M/E7E7E7E7E6,-0.03532123938202858,0.028375742956995964,-0.231187641620636
241697,radio://0/80/2M/E7E7E7E7E6,-0.19115912914276123,0.01286333054304123,-0.16619746387004852
241797,radio://0/80/2M/E7E7E7E7E6,-0.36628052592277527,-0.017253370955586433,-0.08267802745103836
241897,radio://0/80/2M/E7E7E7E7E6,-0.5111362338066101,-0.04228823259472847,0.017880139872431755
241997,radio://0/80/2M/E7E7E7E7E6,-0.6260750889778137,-0.05542650446295738,0.12266116589307785
242097,radio://0/80/2M/E7E7E7E7E6,-0.7100834846496582,-0.06049107387661934,0.22351180016994476
242199,radio://0/80/2M/E7E7E7E7E6,-0.29012835025787354,-0.07508651167154312,0.4401421844959259
242299,radio://0/80/2M/E7E7E7E7E6,-0.42977675795555115,-0.067601278424263,0.3940183222293854
242399,radio://0/80/2M/E7E7E7E7E6,-0.642487108707428,-0.08001699298620224,0.3427221179008484
242498,radio://0/80/2M/E7E7E7E7E6,-0.7696980834007263,-0.07647713273763657,0.28704386949539185
242598,radio://0/80/2M/E7E7E7E7E6,-0.8398391604423523,-0.07876232266426086,0.21414735913276672
242698,radio://0/80/2M/E7E7E7E7E6,-0.8312802910804749,-0.08210661262273788,0.10770507156848907
242799,radio://0/80/2M/E7E7E7E7E6,-0.791036069393158,-0.08998578786849976,-0.028386911377310753
242899,radio://0/80/2M/E7E7E7E7E6,-0.7398982048034668,-0.10054779052734375,-0.1887637823820114
242997,radio://0/80/2M/E7E7E7E7E6,-0.6497815251350403,-0.09807165712118149,-0.28199145197868347
243097,radio://0/80/2M/E7E7E7E7E6,-0.6286556124687195,-0.1408071517944336,-0.4818623661994934
243197,radio://0/80/2M/E7E7E7E7E6,-0.6766188144683838,-0.15233123302459717,-0.6465598344802856
243297,radio://0/80/2M/E7E7E7E7E6,-0.6293557286262512,-0.12419796735048294,-0.6789695024490356
243397,radio://0/80/2M/E7E7E7E7E6,-0.6420544981956482,-0.12136071920394897,-0.7886689901351929
243497,radio://0/80/2M/E7E7E7E7E6,-0.6609689593315125,-0.10019110888242722,-0.8796149492263794
243597,radio://0/80/2M/E7E7E7E7E6,-0.6328125,-0.05653312802314758,-0.897740364074707
243698,radio://0/80/2M/E7E7E7E7E6,-0.6495954990386963,-0.047603365033864975,-0.9862489104270935
243797,radio://0/80/2M/E7E7E7E7E6,-0.7134699821472168,-0.025019874796271324,-1.0343730449676514
243897,radio://0/80/2M/E7E7E7E7E6,-0.7823399901390076,-0.0033307496923953295,-1.1141302585601807
243997,radio://0/80/2M/E7E7E7E7E6,-0.7659451365470886,-0.01848706603050232,-1.2146217823028564
244097,radio://0/80/2M/E7E7E7E7E6,-0.9670619368553162,-0.028625724837183952,-1.539048433303833
244197,radio://0/80/2M/E7E7E7E7E6,-1.1916000843048096,0.005589363630861044,-1.7081114053726196
