URI,x,y,z,vx,vy,vz,batV
radio://0/80/2M/E7E7E7E7E7,0.12845729291439056,-0.17906901240348816,0.11733154952526093,-0.12594188749790192,-0.010581993497908115,0,4.048680305480957
radio://0/80/2M/E7E7E7E7E7,0.1289183497428894,-0.17902380228042603,0.11756232380867004,-0.11488112807273865,-0.010967157781124115,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12888598442077637,-0.1787073165178299,0.11746013909578323,-0.11007547378540039,-0.009440637193620205,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12883290648460388,-0.1790391206741333,0.11753953248262405,-0.1059696152806282,-0.011398241855204105,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12915286421775818,-0.17912982404232025,0.11707035452127457,-0.10580329596996307,-0.01183358859270811,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.128982812166214,-0.17877857387065887,0.1173623725771904,-0.10941655933856964,-0.010312342084944248,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12889300286769867,-0.17892169952392578,0.11722418665885925,-0.11249719560146332,-0.011165033094584942,0,4.048680305480957
radio://0/80/2M/E7E7E7E7E7,0.12918402254581451,-0.17945635318756104,0.11720910668373108,-0.11346908658742905,-0.012673760764300823,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12933042645454407,-0.17967431247234344,0.11664167046546936,-0.09095259010791779,-0.012855672277510166,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.1295117884874344,-0.18028688430786133,0.11641073226928711,-0.0933448076248169,-0.01467563584446907,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12935884296894073,-0.1801440417766571,0.11616011708974838,-0.0979112833738327,-0.013267392292618752,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12895460426807404,-0.17928259074687958,0.11738375574350357,-0.10429025441408157,-0.009640499949455261,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12881524860858917,-0.17852139472961426,0.11793886870145798,-0.11140870302915573,-0.0074405730701982975,0,4.048680305480957
radio://0/80/2M/E7E7E7E7E7,0.12883414328098297,-0.1780548393726349,0.1183355525135994,-0.11727981269359589,-0.0068327817134559155,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.12847819924354553,-0.178301602602005,0.11764559894800186,-0.12365572154521942,-0.01016960758715868,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.13410718739032745,-0.17798037827014923,0.11673600971698761,0.20165827870368958,-0.004937205463647842,0,4.048680305480957
radio://0/80/2M/E7E7E7E7E7,0.13302746415138245,-0.17826709151268005,0.11672808229923248,0.155080184340477,-0.008655975572764874,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.13142995536327362,-0.17858734726905823,0.11627169698476791,0.09634510427713394,-0.01060823630541563,0,4.043401718139648
radio://0/80/2M/E7E7E7E7E7,0.1307789385318756,-0.17847318947315216,0.11600708216428757,0.0497412234544754,-0.010240484960377216,0,4.043401718139648
