timestamp,uri,x,y,z,vx,vy,vz,battery
==========================================
date: 2025-05-08
time: 13:42:24
distance: 1.0
velocity: 0.2
horizontalSeparation: 1.5
verticalSeparation: 0
==========================================
1346081,radio://0/60/2M/E7E7E7E7E6,-0.5933133959770203,-0.11616770923137665,-0.0012446455657482147,-0.003673553466796875,-0.01302337646484375,-0.0066986083984375,3.710850477218628
1346181,radio://0/60/2M/E7E7E7E7E6,-0.5934793949127197,-0.11615633219480515,-0.0010129621950909495,-0.004364013671875,-0.01290130615234375,-0.00533294677734375,3.7161290645599365
1346281,radio://0/60/2M/E7E7E7E7E6,-0.5936307311058044,-0.11584781110286713,-0.0011487160809338093,-0.005023956298828125,-0.01161956787109375,-0.005977630615234375,3.710850477218628
1346381,radio://0/60/2M/E7E7E7E7E6,-0.5933623313903809,-0.11604050546884537,-0.0013396048452705145,-0.004306793212890625,-0.002681732177734375,-0.0084686279296875,3.710850477218628
1346481,radio://0/60/2M/E7E7E7E7E6,-0.5935242176055908,-0.11574390530586243,-0.0011417423374950886,-0.004581451416015625,-0.00267791748046875,-0.00678253173828125,3.710850477218628
1346581,radio://0/60/2M/E7E7E7E7E6,-0.5934569835662842,-0.1158989891409874,-0.001158578204922378,-0.00457763671875,-0.003208160400390625,-0.00601959228515625,3.710850477218628
1346681,radio://0/60/2M/E7E7E7E7E6,-0.593540370464325,-0.11570442467927933,-0.0010887481039389968,-0.0045928955078125,-0.0020904541015625,-0.005779266357421875,3.710850477218628
1346781,radio://0/60/2M/E7E7E7E7E6,-0.5935676693916321,-0.11546888202428818,-0.001139355357736349,-0.005016326904296875,-0.00135040283203125,-0.005474090576171875,3.710850477218628
1346881,radio://0/60/2M/E7E7E7E7E6,-0.5934564471244812,-0.1160755306482315,-0.0011097202077507973,-0.004619598388671875,-0.00441741943359375,-0.005817413330078125,3.710850477218628
1346981,radio://0/60/2M/E7E7E7E7E6,-0.5933518409729004,-0.11593694239854813,-0.001271236571483314,-0.0045013427734375,-0.00475311279296875,-0.00658416748046875,3.710850477218628
1347081,radio://0/60/2M/E7E7E7E7E6,-0.5935707688331604,-0.11596277356147766,-0.0010895759332925081,-0.005062103271484375,-0.00811004638671875,-0.004520416259765625,3.710850477218628
1347181,radio://0/60/2M/E7E7E7E7E6,-0.5934621691703796,-0.1160544827580452,-0.001218135585077107,-0.0032596588134765625,-0.007366180419921875,-0.005153656005859375,3.7161290645599365
1347281,radio://0/60/2M/E7E7E7E7E6,-0.5934722423553467,-0.11606062948703766,-0.0010567163117229939,-0.003993988037109375,-0.006687164306640625,-0.00482940673828125,3.710850477218628
1347381,radio://0/60/2M/E7E7E7E7E6,-0.5933496356010437,-0.11596082895994186,-0.0011883856495842338,-0.00400543212890625,-0.006015777587890625,-0.00640106201171875,3.710850477218628
1347481,radio://0/60/2M/E7E7E7E7E6,-0.5935912728309631,-0.11553221195936203,-0.0010727065382525325,-0.004795074462890625,-0.00496673583984375,-0.00572967529296875,3.710850477218628
1347581,radio://0/60/2M/E7E7E7E7E6,-0.5934827327728271,-0.11604315042495728,-0.0011634473921731114,-0.00414276123046875,-0.005489349365234375,-0.00687408447265625,3.710850477218628
1347681,radio://0/60/2M/E7E7E7E7E6,-0.5934295058250427,-0.11580918729305267,-0.0010200252290815115,-0.003162384033203125,-0.004978179931640625,-0.0063934326171875,3.710850477218628
1347781,radio://0/60/2M/E7E7E7E7E6,-0.5933915972709656,-0.11603923887014389,-0.001130137126892805,-0.0027599334716796875,-0.0177459716796875,-0.003795623779296875,3.710850477218628
1347881,radio://0/60/2M/E7E7E7E7E6,-0.5934039950370789,-0.1162048801779747,-0.0012087319046258926,-0.00347900390625,-0.0166168212890625,-0.004627227783203125,3.710850477218628
1347981,radio://0/60/2M/E7E7E7E7E6,-0.5935832262039185,-0.11591139435768127,-0.0011851752642542124,-0.00418853759765625,-0.014068603515625,-0.00440216064453125,3.710850477218628
1348081,radio://0/60/2M/E7E7E7E7E6,-0.5935481786727905,-0.11617866158485413,-0.0012671926524490118,-0.003772735595703125,-0.01372528076171875,-0.00508880615234375,3.710850477218628
