timestamp,uri,x,y,z,vx,vy,vz,battery
==========================================
date: 2025-04-28
time: 15:15:09
endPoint: (-1, 1)
verticalSeparation: 0
horizontalSeparation: None
velocity: 0.4
==========================================
317198,radio://0/80/2M/E7E7E7E7E6,-0.2074078470468521,-0.2662872076034546,-0.11042755842208862,-1.2705078125,-1.5419921875,-0.6591796875,4.0750732421875
317298,radio://0/80/2M/E7E7E7E7E6,-0.3561766445636749,-0.441949725151062,-0.18573284149169922,-1.703125,-1.9736328125,-0.8505859375,4.0750732421875
317398,radio://0/80/2M/E7E7E7E7E6,-0.5444918274879456,-0.6641920208930969,-0.2804662585258484,-2.078125,-2.4453125,-1.0478515625,4.0750732421875
317498,radio://0/80/2M/E7E7E7E7E6,-0.7741101980209351,-0.9330087304115295,-0.39434337615966797,-2.541015625,-2.9609375,-1.2236328125,4.0750732421875
317598,radio://0/80/2M/E7E7E7E7E6,-1.049561619758606,-1.2556110620498657,-0.5256546139717102,-2.947265625,-3.44921875,-1.4296875,4.0750732421875
317698,radio://0/80/2M/E7E7E7E7E6,-1.3631856441497803,-1.6261885166168213,-0.678799569606781,-3.30859375,-3.912109375,-1.646484375,4.0750732421875
317798,radio://0/80/2M/E7E7E7E7E6,-1.7134581804275513,-2.03792667388916,-0.8532233834266663,-3.697265625,-4.31640625,-1.841796875,4.0750732421875
317898,radio://0/80/2M/E7E7E7E7E6,-2.103595495223999,-2.4873769283294678,-1.048877477645874,-4.1171875,-4.703125,-2.060546875,4.0750732421875
317998,radio://0/80/2M/E7E7E7E7E6,-2.536196708679199,-2.9810450077056885,-1.2647207975387573,-4.5390625,-5.140625,-2.259765625,4.0750732421875
318098,radio://0/80/2M/E7E7E7E7E6,-3.013057231903076,-3.5143039226531982,-1.5012829303741455,-5.0,-5.53125,-2.45703125,4.0750732421875
318198,radio://0/80/2M/E7E7E7E7E6,-3.5328567028045654,-4.08854866027832,-1.7562593221664429,-5.390625,-5.93359375,-2.65234375,4.0750732421875
318298,radio://0/80/2M/E7E7E7E7E6,-4.099526882171631,-4.711021423339844,-2.0327963829040527,-5.83203125,-6.37890625,-2.81640625,4.0750732421875
318398,radio://0/80/2M/E7E7E7E7E6,-4.70331335067749,-5.369077205657959,-2.323744773864746,-6.25,-6.8046875,-2.99609375,4.0750732421875
318498,radio://0/80/2M/E7E7E7E7E6,-5.34940767288208,-6.0727996826171875,-2.6312923431396484,-6.66015625,-7.25390625,-3.169921875,4.0750732421875
318598,radio://0/80/2M/E7E7E7E7E6,-6.034560203552246,-6.8201069831848145,-2.9562299251556396,-7.0546875,-7.734375,-3.3125,4.0750732421875
318698,radio://0/80/2M/E7E7E7E7E6,-0.02038743533194065,0.006835396401584148,-0.0057996236719191074,-0.490966796875,0.1834716796875,-0.1494140625,4.0750732421875
318798,radio://0/80/2M/E7E7E7E7E6,-0.10556008666753769,0.03931904211640358,-0.030988264828920364,-1.23828125,0.459716796875,-0.3642578125,4.0750732421875
318898,radio://0/80/2M/E7E7E7E7E6,-0.2489248365163803,0.09042193740606308,-0.07939878106117249,-1.8388671875,0.6611328125,-0.6904296875,4.0750732421875
318998,radio://0/80/2M/E7E7E7E7E6,-0.46281373500823975,0.16927434504032135,-0.1654447466135025,-2.46875,0.93505859375,-1.037109375,4.0750732421875
319098,radio://0/80/2M/E7E7E7E7E6,-0.7442560195922852,0.27802708745002747,-0.288547158241272,-3.1328125,1.240234375,-1.4228515625,4.0750732421875
319198,radio://0/80/2M/E7E7E7E7E6,-1.0911961793899536,0.41931208968162537,-0.4498598277568817,-3.796875,1.583984375,-1.81640625,4.0750732421875
319298,radio://0/80/2M/E7E7E7E7E6,-1.5014094114303589,0.5944356918334961,-0.6502637267112732,-4.42578125,1.93359375,-2.18359375,4.0750732421875
319398,radio://0/80/2M/E7E7E7E7E6,-1.9776887893676758,0.804660975933075,-0.8873255848884583,-5.09765625,2.26953125,-2.568359375,4.0750732421875
319498,radio://0/80/2M/E7E7E7E7E6,-2.5262372493743896,1.0525442361831665,-1.1646251678466797,-5.7734375,2.634765625,-2.927734375,4.0750732421875
319598,radio://0/80/2M/E7E7E7E7E6,-3.1370389461517334,1.3331856727600098,-1.4754270315170288,-6.4296875,2.984375,-3.2890625,4.0750732421875
319698,radio://0/80/2M/E7E7E7E7E6,-3.811809539794922,1.6522655487060547,-1.8213039636611938,-7.0625,3.390625,-3.630859375,4.0750732421875
319798,radio://0/80/2M/E7E7E7E7E6,-4.549395561218262,2.011430025100708,-2.200758934020996,-7.68359375,3.783203125,-3.955078125,4.0750732421875
319898,radio://0/80/2M/E7E7E7E7E6,-5.348506450653076,2.4097344875335693,-2.6127102375030518,-8.2890625,4.1875,-4.28515625,4.0750732421875
319998,radio://0/80/2M/E7E7E7E7E6,-6.206567764282227,2.846182107925415,-3.058317184448242,-8.890625,4.55078125,-4.62890625,4.0750732421875
320098,radio://0/80/2M/E7E7E7E7E6,-7.134853839874268,3.3269169330596924,-3.5411078929901123,-9.484375,4.96484375,-4.9375,4.0750732421875
320198,radio://0/80/2M/E7E7E7E7E6,-8.110929489135742,3.843947649002075,-4.050021171569824,-10.0234375,5.37109375,-5.2421875,4.0750732421875
320298,radio://0/80/2M/E7E7E7E7E6,-0.00038915660115890205,0.007141828071326017,-0.004805609118193388,-0.017669677734375,0.3642578125,-0.240966796875,4.0750732421875
320398,radio://0/80/2M/E7E7E7E7E6,-0.005301284603774548,0.0927756130695343,-0.06151088327169418,-0.10955810546875,1.3896484375,-0.92333984375,4.0750732421875
320498,radio://0/80/2M/E7E7E7E7E6,-0.023398540914058685,0.27722400426864624,-0.18649888038635254,-0.25537109375,2.283203125,-1.568359375,4.0750732421875
320598,radio://0/80/2M/E7E7E7E7E6,-0.05797059088945389,0.5507858991622925,-0.37631407380104065,-0.4375,3.18359375,-2.236328125,4.0750732421875
320698,radio://0/80/2M/E7E7E7E7E6,-0.11430156230926514,0.9206825494766235,-0.640403687953949,-0.67578125,4.0625,-2.94140625,4.0750732421875
320798,radio://0/80/2M/E7E7E7E7E6,-0.19554421305656433,1.3702744245529175,-0.9673805236816406,-0.951171875,4.96484375,-3.59765625,4.0750732421875
320898,radio://0/80/2M/E7E7E7E7E6,-0.30314087867736816,1.9184023141860962,-1.3613802194595337,-1.1787109375,5.953125,-4.2578125,4.0750732421875
320998,radio://0/80/2M/E7E7E7E7E6,-0.42873671650886536,2.561077356338501,-1.8180025815963745,-1.328125,6.8828125,-4.87109375,4.0750732421875
321098,radio://0/80/2M/E7E7E7E7E6,-0.5688449740409851,3.296801805496216,-2.335679531097412,-1.474609375,7.81640625,-5.4765625,4.0750732421875
321198,radio://0/80/2M/E7E7E7E7E6,-0.7226334810256958,4.12012243270874,-2.9127771854400635,-1.599609375,8.65625,-6.05859375,4.0750732421875
321298,radio://0/80/2M/E7E7E7E7E6,0.00018631815328262746,0.0011072091292589903,-0.000982167897745967,0.0182647705078125,0.108642578125,-0.1016845703125,4.0750732421875
321398,radio://0/80/2M/E7E7E7E7E6,0.008278055116534233,0.048511479049921036,-0.036825329065322876,0.125244140625,0.8310546875,-0.62744140625,4.0750732421875
321498,radio://0/80/2M/E7E7E7E7E6,0.025936994701623917,0.16168642044067383,-0.13027144968509674,0.18896484375,1.4619140625,-1.2431640625,4.0750732421875
321598,radio://0/80/2M/E7E7E7E7E6,0.035127654671669006,0.3647175133228302,-0.28563743829727173,0.062469482421875,2.595703125,-1.9091796875,4.0750732421875
321698,radio://0/80/2M/E7E7E7E7E6,0.04367673397064209,0.6767722368240356,-0.5133469104766846,0.11822509765625,3.63671875,-2.626953125,4.0750732421875
321798,radio://0/80/2M/E7E7E7E7E6,0.05837538465857506,1.0954605340957642,-0.803071141242981,0.12939453125,4.69921875,-3.1171875,4.0750732421875
321898,radio://0/80/2M/E7E7E7E7E6,0.06561340391635895,1.6155800819396973,-1.125962257385254,0.006160736083984375,5.703125,-3.33984375,4.0750732421875
321998,radio://0/80/2M/E7E7E7E7E6,0.0594971589744091,2.234203577041626,-1.473985195159912,-0.12445068359375,6.7109375,-3.630859375,4.0750732421875
322098,radio://0/80/2M/E7E7E7E7E6,0.04431166872382164,2.9554390907287598,-1.8637861013412476,-0.1962890625,7.71484375,-4.1796875,4.0750732421875
322198,radio://0/80/2M/E7E7E7E7E6,0.024648353457450867,3.770934820175171,-2.306262254714966,-0.21728515625,8.609375,-4.67578125,4.0750732421875
322298,radio://0/80/2M/E7E7E7E7E6,-0.0026375059969723225,4.682367324829102,-2.796513557434082,-0.3994140625,9.515625,-5.11328125,4.0750732421875
322398,radio://0/80/2M/E7E7E7E7E6,-0.0031421128660440445,0.0021906367037445307,-0.0019105334067717195,-0.2181396484375,0.119384765625,-0.14208984375,4.0750732421875
322498,radio://0/80/2M/E7E7E7E7E6,-0.061921752989292145,0.021245962008833885,-0.04150278493762016,-0.95263671875,0.29541015625,-0.6328125,4.0750732421875
322598,radio://0/80/2M/E7E7E7E7E6,-0.18787094950675964,0.06076796352863312,-0.12726721167564392,-1.6494140625,0.452392578125,-1.078125,4.0750732421875
